Input,Analysis,Overall Valence,Overall Arousal
He feels excited and happy and relieved that the wheel did not land on $0. Might feel less disappointed since he won some money but not the maximum amount. ,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.3,7.67
I think Alex feels excited; but he knew he held a slighter better chance of winning some money rather than zero since the portion of the wheel representing zero is slightly smaller. He probably feels justified in receiving some money; yet wishes he had won the larger amount.,"{'excited': [7.5, 7.67, ['excited'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.3,7.67
He is some what glad that he won 30 dollars because the chances of him winning were very low\n,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
relieved!  The pointer ALMOST landed on $0 but at the last minute it rolled over to $30.  He is very excited to win some money.,"{'excited': [8.5, 8.67, ['very excited'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.8,8.67
Yay money! There was a big chance that he could have gotten nothing. He should feel relieved.,"{'great': [9.0, 7.0, ['yay'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",8.05,7.0
Wow ;josh i really surprized . he feels like he just beat the odds.,{},0,0
happy. justifies his outcome by saying he could have easily walked away with nothing,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Probably relieved that he did not land on the $0 but could have been happy doubling his money. So pretty neutral.,"{'content': [6.0, 5.7, ['a little neutral'], 1], 'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.1,6.49
Felt ok; 30 is better than zero,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
Although Charlie is a little sad that he didn't get the $60; he is happy that he is walking away with at least $30.  With such a big chance on the wheel landing on $0; he was nervous that he'd end up with nothing.,"{'nervous': [3.29, 6.59, ['nervous'], 1], 'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1]}",4.71,6.59
I think he feels happy and relived. There was a relatively large chance that he would walk away without winning anything.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
I think he is relieved that he didn't land on $0; but wishes he landed on $60.,"{'fortunate': [7.09, 5.16, ['relieved', 'wishes'], 2]}",7.09,5.16
James is relieved that he won $30 as opposed to no money; but he still wishes he would have won the greater amount of money.,"{'fortunate': [7.09, 5.16, ['relieved', 'wishes'], 2]}",7.09,5.16
He felt okay.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
David is pretty happy. He has won something; he could've won nothing.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
Uggggggh - he's probably feeling jipped. This was so close!!!,"{'unfortunate': [2.0, 4.0, ['jipped'], 1]}",2.0,4.0
Content and satisfied that he won money at all; yet somewhat upset he didnt get the highest amount. ,"{'content': [7.5, 4.82, ['content', 'satisfied'], 2], 'sad': [3.0, 6.86, ['a little upset'], 1]}",6.0,6.86
He is relieved he didn't get 0 because of how close he came to getting 0. He is probably disappointed that he didn't 60 but glad that he got something.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['relieved', 'glad'], 2]}",5.53,5.16
Eric must be happy he a least won something. 30 is better than nothning,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
James is excited about winning anything at all.  That $0 slot on the wheel is very large and he was very nervous about it prior to spinning the wheel.,"{'nervous': [2.29, 5.59, ['very nervous'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",4.9,7.67
George is probably upset that he did not win more; but happy that he won money.,"{'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",5.11,6.49
He is really happy. The chances of winning 60 dollars was small. He wasn't expecting to get any money at all.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Woohoo! Big Winna!,{},0,0
Since $60 is a maximum he can win; I'm sure Alex feels great!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He probably feels great because he won the largest amount possible. Even more so because he avoided the $0; which was the largest portion.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He feels awesome,"{'great': [9.0, 6.0, ['awesome'], 1]}",9.0,6.0
good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Frank feels very elated! He won the highest amount and has earned some extra cash.,"{'excited': [8.45, 7.21, ['very elated'], 1]}",8.45,7.21
Chris is happy that he won $60; which is the largest amount on the wheel. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Jake is thrilled. Not only did we win the max prize but he didn't land on 0$!,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
He felt very disappointing.,"{'disappointed': [1.39, 3.92, ['very disappointing'], 1]}",1.39,3.92
I think he was extremely excited that he won the most available out of the least amout of chances to win.,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
He probably feels pretty lucky. He had a small chance of winning $60; but he won it!,"{'fortunate': [7.17, 5.53, ['a little lucky'], 1]}",7.17,5.53
He is excited because he barely won the maximum prize.  he is also relieved because the no prize was a large portion of the board.,"{'excited': [7.5, 7.67, ['excited'], 1], 'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.3,7.67
Steve is thrilled he didn't land on $0 since it had the best chance.,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
Jacob must feel incredibly happy about his $60 win. He won the most amount of money and had the smallest probability of winning it. He couldn't have wished for a better outcome.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
The player will be very excited with the result as it is the highest amount on the wheel and it is the grand prize.,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
Mike will be very happy for winning the highest prize.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
David feels awesome because he not only got the highest amount; but it was also the smallest section which made it unlikely to get.,"{'great': [9.0, 6.0, ['awesome'], 1]}",9.0,6.0
Glad and lucky for wining the largest amount of money available.,"{'fortunate': [7.63, 5.85, ['glad', 'lucky'], 2]}",7.63,6.53
David is going wild!  He's so excited to have won the highest amount with the smallest odds of winning. He feels lucky!,"{'excited': [7.5, 7.67, ['excited'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",7.84,7.67
Surprised. He had a better chance at getting the two lower amounts but he won the most.,"{'surprised': [7.47, 7.47, ['surprised'], 1]}",7.47,7.47
Pumped up!! That was the least likely and the most awesome. I bet he's jumping around like those weirdos on the Price is Right.,"{'great': [9.0, 6.0, ['awesome'], 1], 'excited': [8.66, 6.92, ['jumping'], 1]}",8.83,6.92
david is happy.\ndavid is excited.\nglad he didn't zero  out or get the lesser $30.,{},0,0
Happy because he won the largest amount of $. Probably lucky too because it was the smallest area and he landed on it.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.2,6.53
Happy and relieved,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Super pumped he hit the highest,"{'great': [9.0, 6.0, ['super'], 1]}",9.0,6.0
David was probably very happy and excited he won the highest amount with the least odds.  Combined with the $0 prize it added the thrill of getting nothing.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.36,7.67
James is super excited about winning the $60 as it is the maximum amount on the wheel and he also had a large chance of not winning anything at all.,"{'great': [9.0, 6.0, ['super'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",8.25,7.67
Steve feels amazing that he has won the largest amount with a small chance! He is ready to play more!,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
Josh is probably very excited that he got $60; and moreso that he didn't get $0. He probably feels very happy and lucky.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.63,8.67
Charlie was elated to win the largest amount on the wheel and in the smallest section of the wheel.,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
I think he'd feel somewhat happen yet somewhat disappointed. Im sure he was hoping for a larger amount of money; but Im sure hes happy he got something.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",6.24,6.49
He felt okay.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
I think he would have felt like it was expected. Overall; he had a 50% chance that it would land on $10 anyway. He might be a little disappointed though.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
I think that is what he expected since the 10 amount is very large,{},0,0
He probably feel glad that he won something. But at the same time he would be disappointed that he didn't win 75 dollars. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
Disappointed he only won 10 bucks.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He felt disappointed as he got the lowest amount of money.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Charlie knew he had a 50% or greater chance of winning only $10; but having come so close to a higher prize has made him unhappy with his $10 prize.,"{'unhappy': [1.57, 4.18, ['unhappy'], 1]}",1.57,4.18
let down that he only got 10$. happy that he didnt lose and gt nothing.,"{'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",5.17,6.49
He feels like it is expected because there was a 50% chance he would win 10 $ so anything more wold be exciting but he knew he would at last win 10 $,"{'excited': [7.5, 7.67, ['exciting'], 1]}",7.5,7.67
I'm sure he's bummed.  The percentages were favoring $10.  It's better to get something than nothing.  It might might hurt a little though.,"{'sad': [2.39, 4.78, ['bummed'], 1]}",2.39,4.78
He feels content but would've been happier if he won the $35 or $75.,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7
I think David feels a little unhappy even though he knows he held the highest chance of winning the lowest amount of money. He probably figured that is the way it would work out.,"{'unhappy': [2.57, 5.18, ['a little unhappy'], 1]}",2.57,5.18
Predicatable,{},0,0
Disappointed; but not shocked. His odds were definitely for this result; though he probably would've rather had the $75,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Eric knew he was most likely to win $10 since it was the most likely outcome; so he isn't too surprised. He's slightly disappointed that he also had a $50 chance of winning more than $10.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1]}",4.0,5.92
He is disappointed he won the least amount.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Probably upset even though he expected it.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
He probably feels a little disappointed; but unsurprised; since he had a 50% chance of getting $10 anyway. It's better than $0; though.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
He was disappointed because it was the lowest prize although not entirely unsurprised.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
George is very happy,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Charlie is probably not too happy.  The amount he won is the lowest amount possibly; and it is not a substantial amount of money.  Plus; the odds were against him to win a high amount because there was a 50% chance that he would end up with only $10.,"{'happy': [4.39, 2.67, ['not very happy'], 1]}",4.39,2.666999999999999
He feels kinda eh about the whole thing.  He was most likely to win $10; but it barely seems like a prize since he had a chance to win $75.,{},0,0
Tom is disappointed right now. I bet he was hoping for a better spin.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.75,5.78
Pretty let down; but not surprised since $10 was the largest sized portion. He was still hoping to win more.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1], 'sad': [3.13, 6.07, ['a little down'], 1]}",4.62,6.07
ugh i only won that much,{},0,0
he gets disappointed,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Scott is upset by his winnings; because that is the lowest amount anyone has won today,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Alex is probably probably mildly disappointed he only won $35.  Even though the greater odds was for $10; its still much lower than the $75 prize.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
Relieved that it wasn't the lower amount since it was a higher likelihood.,"{'fortunate': [7.09, 5.16, ['relieved'], 1]}",7.09,5.16
I think Jake is excited.  He knows that $10 is the reasonable amount to expect.  He would have been happier to get $75; though.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Tom probably feels very good about his earnings. Even though he didn't win $75; he still did very well and is happy.,"{'happy': [8.34, 6.46, ['very good', 'happy'], 2]}",8.34,6.49
He felt great because $75 is really hard to get because that particular section is pretty small.  He got very lucky!,"{'great': [8.5, 8.5, ['great'], 1], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",8.84,8.5
He felt well but would have felt better if he got $75.,{},0,0
Well Bob is pleased to win the $35; as the $10 section of the wheel was the largest section and his chance to win the $35 was less.,"{'happy': [8.01, 5.97, ['pleased'], 1]}",8.01,5.97
I think he's probably a bit disappointed; but $35 is still $35!,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He is disappointed he didnt win the largest amount but satisfied for not winning the least.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",5.17,4.94
He was so close!  He feels happy he won the 2nd biggest prize; but a little dissapointed that he was so close to the big one,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He probably feels somewhat happy; and somewhat surprised. But he probably also wished it would have kept going to land on the 75,"{'surprised': [6.47, 6.47, ['a little surprised'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",6.84,6.47
he is happy he got the middle amount but sad because the top amount is double what he could have won,"{'sad': [1.61, 4.13, ['sad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",4.91,6.49
content. he won more than the least possible.,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7
He's probably a little disappointed. I bet Tom wanted to win more than that. He probably was going for that bog $75,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
I think he would like that he won that amount.  He probably thought he would get $10 because it was the biggest but he got $35 which is in the middle and $25 more than the smallest.,{},0,0
Steve must be still happy. He could have got the amount of 10 but got 35 so its still good money,"{'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.84,6.49
He probably expected that he would win 10 dollars since it was the most likely. He probably is okay with 35 dollars but would have liked 75 dollars.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
disappointed about not winning the $70 but glad it wasn't $10,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
Chris is overjoyed e won money he did not have before hand,"{'excited': [8.66, 6.92, ['overjoyed'], 1]}",8.66,6.92
Surprised. He could have gotten the lowest amount because that amount dominates space on the wheel.,"{'surprised': [7.47, 7.47, ['surprised'], 1]}",7.47,7.47
happy because he won the middle amount,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He felt okay.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
I think John feels alright about the $35 prize.  The odds were in favor of landing on the $10 prize.,"{'content': [6.06, 4.7, ['alright'], 1]}",6.06,4.7
Mike should be happy.  He had more than 50% chance to win only $10,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He would feel excited winning the biggest prize of $75,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Even though it wasn't the largest amount; he is still glad as there was more then fifty percent chance; he could of gotten lower than that.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Buy me some groceries.  Some drinks for tonight.  Would never spend it all i feel lucky.,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Jake must be quite happy with his outcome. The $35 prize is much better than the $10 prize; although he likely figures that the $75 prize would have been nice.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Steve is happy with his 2nd prize amount. He's happy he avoided the 3rd prize; but upset that he didn't win the 1st prize.,"{'sad': [2.0, 5.86, ['upset'], 1], 'happy': [8.22, 6.49, ['happy'], 2]}",6.14,6.49
Eric lets out a sigh of relief that the wheel didn't land on $10.  There was slightly over a 50% chance that it would.  He's happy with his $35.,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [7.09, 5.16, ['relief'], 1]}",7.65,6.49
I think Bob wishes he had won the largest amount; but feels lucky he did not win the lowest amount.,"{'fortunate': [7.63, 5.85, ['wishes', 'lucky'], 2]}",7.63,6.53
He must have felt very happy. He got the best prize on the wheel! ,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He won the highest amount on the wheel; he is probably excited! He probably thought he was going to win the 10 since it is to big; so he is probably surprised.,"{'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1]}",7.49,7.67
I think he would be very happy. That is the largest figure available. woohoo for him.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He felt amazing!,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
He is very happy because he won the most amount of money that he could.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Lucky since the section was so small and his chances of getting less were good!,"{'happy': [7.47, 5.43, ['good'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",7.82,6.53
He feels lucky because he keeps winning the amount on the wheel that he has the lowest probability of winning. Plus; now he can pay his phone bill too!,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
I Felt excited. I felt happy that they won the largest amount. ,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
He feels great about winning the biggest prize!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
I'm sure he's elated since the odds were against him.,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
Elated!,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
Tom is probably feeling very good.  He has hit the highest amount with the smallest chance of winning.  You can do a few things with 75 dollars these days.,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
he is as happy as you can get by playing this game. max happiness. lowest odds; but highest payoff.,"{'happy': [8.72, 6.99, ['happy', 'very happiness'], 2]}",8.72,7.49
Wow...the odds were against  him but he won the biggest prize....He is exstatic!,{},0,0
Wow; elated smallest chance to win and he won! Better chance to win $10 and he won $75 his lucky day.,"{'excited': [7.45, 6.21, ['elated'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",7.81,6.53
Better than the previous contestants before him,{},0,0
Very lucky that it landed in the smallest section with highest payout.I think he would feel like he beat the odds against him.,"{'fortunate': [9.17, 7.53, ['very lucky'], 1]}",9.17,7.53
Super pumped he hit the highest ,"{'great': [9.0, 6.0, ['super'], 1]}",9.0,6.0
He is super excited that he won the highest dollar amount; because the odds were against him for the smallest slice. He is very happy.,"{'great': [9.0, 6.0, ['super'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.57,7.67
It's the highest he can win... that makes him very happy. ,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
James is surprised and feels lucky. He did not expect to land on the smallest space and win the largest amount.,"{'surprised': [7.47, 7.47, ['surprised'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",7.82,7.47
Tom is most likely extremely happy with his spin. The chance of winning $10 or $35 was much greater than spinning $75.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Scott feels great about winning.  The amount he won is quite a lot more than the other two amounts that he could have won.  Plus; the amount he won is quite substantial.  Finally; he had a much higher chance of winning only $10; so he is glad to have beat the odds of winning a much lower amount.,"{'great': [8.5, 8.5, ['great'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",7.8,8.5
I think Mike feels excited about winning 75 dollars. He won the most money on the wheel.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
He feels extra great! Very lucky! It landed on the smallest one; with the largest money! Great day!,"{'great': [8.5, 8.5, ['great'], 2], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",8.73,8.5
I think he feels extremely surprised and happy. He got the most money possible; and this section of the wheel had the smallest probability associated with it.,"{'surprised': [8.47, 8.47, ['very surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.34,8.469999999999999
He's feeling really lucky and excited - the $75 wasn't a very big section - he figured he'd get the $10 but he got the $75 so he's pretty excited.,"{'excited': [7.0, 7.17, ['excited', 'a little excited'], 2], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",7.73,7.67
I think Jake is extremely happy. He got the most amount of money with the smallest portion of the wheel!,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Feels super excited. $75 is a lot!,"{'great': [9.0, 6.0, ['super'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",8.25,7.67
He feels happy and excited that he won the maximum amount. He feels surprised that he won the maximum over the minimum. Does not feel disappointed or sad. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'disappointed': [5.14, 7.67, ['not disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.99,7.67
Alex feels extremely happy and lucky. $75 was by far the least likely outcome and largest denomination.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.7,7.49
Tom feels ecstatic that he has beaten the odds of winning a small prize; and is taking home the much-less-likely high prize amount.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Bob must be jumping of joy he had less than 25% of winning. he must be jumping of joy.,"{'excited': [8.66, 6.92, ['jumping'], 2], 'happy': [8.6, 7.22, ['joy'], 2]}",8.64,7.22
Jake is very happy to have won $75; especially since the wheel had almost stopped on $10. He also feels lucky since winning $75 had the smallest probability of the three possibilities. ,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.7,7.49
James felt excited.  Winning $75 when he had a higher chance of winning only $10 is awesome.,"{'great': [9.0, 6.0, ['awesome'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",8.25,7.67
He probably feels very happy because he landed on the largest amount and very lucky because he landed on the smallest section.,"{'fortunate': [9.17, 7.53, ['very lucky'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",9.2,7.53
Steve is glad about his results. That is the most he could get. I bet he is very satisfied with that spin.,"{'content': [8.95, 5.94, ['very satisfied'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",8.02,5.94
good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
good going Josh,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
really happy; won the most amount on the smallest part.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
disappointed that the wheel landed on the smallest amount,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
