workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1 (valence),pcomp2 (negative arousal),dummy,Analysis,Overall Valence,Overall Arousal,Avg ID1,Avg ID2,scale1 (relative valence),scale2 (negative relative arousal)
A2ZAI1UI3BONP9,2,0,30,60,0.42,0.31,0.27,30,0.31,0.519,George is probably upset that he did not win more; but happy that he won money.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.0, 5.86, ['upset'], 1]}",5.11,6.18,,,,4.5
A25DHXVNVC0VPW,3,0,30,60,0.41,0.37,0.22,60,0.22,0.125,Frank feels very elated! He won the highest amount and has earned some extra cash.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'excited': [8.45, 7.21, ['very elated'], 1]}",8.45,7.21,8.23375,6.63125,3.73375,-2.13125
A12DDKXPSHDPSV,3,0,30,60,0.41,0.37,0.22,60,0.22,0.776,Chris is happy that he won $60; which is the largest amount on the wheel. ,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49,,,,4.5
AMHS55IO8IWSH,3,0,30,60,0.41,0.37,0.22,60,0.22,0.484,Jacob must feel incredibly happy about his $60 win. He won the most amount of money and had the smallest probability of winning it. He couldn't have wished for a better outcome.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49,,,,4.5
A2P9CB7M5EG2II,3,0,30,60,0.41,0.37,0.22,60,0.22,0.627,The player will be very excited with the result as it is the highest amount on the wheel and it is the grand prize.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67,,,,4.5
A3FMBZRXBR0BH6,3,0,30,60,0.41,0.37,0.22,60,0.22,0.542,David feels awesome because he not only got the highest amount; but it was also the smallest section which made it unlikely to get.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'great': [9.0, 6.0, ['awesome'], 1]}",9,6,,,,4.5
A236LC3K242Y4B,3,0,30,60,0.41,0.37,0.22,60,0.22,0.315,Glad and lucky for wining the largest amount of money available.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'fortunate': [7.63, 5.85, ['glad', 'lucky'], 2]}",7.63,5.85,,,,4.5
A35R4R94ZTZFSV,3,0,30,60,0.41,0.37,0.22,60,0.22,0.349,Happy because he won the largest amount of $. Probably lucky too because it was the smallest area and he landed on it.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.2,6.51,,,,4.5
A30IS80MAGH20S,3,0,30,60,0.41,0.37,0.22,60,0.22,0.894,Happy and relieved,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,1,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,5.83,,,,4.5
A35B3KI1K34CRA,4,10,35,75,0.5,0.31,0.19,10,0.5,0.437,I think that is what he expected since the 10 amount is very large,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,{},0,0,3.419,4.312,-1.081,0.188
A2HR7ZIX42FEPG,4,10,35,75,0.5,0.31,0.19,10,0.5,0.309,He probably feel glad that he won something. But at the same time he would be disappointed that he didn't win 75 dollars. ,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.04,,,,4.5
A236LC3K242Y4B,4,10,35,75,0.5,0.31,0.19,10,0.5,0.068,He felt disappointed as he got the lowest amount of money.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92,,,,4.5
A7MDNLR6XMWBI,4,10,35,75,0.5,0.31,0.19,10,0.5,0.944,He feels content but would've been happier if he won the $35 or $75.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7,,,,4.5
A1WND2TPRFA4H,4,10,35,75,0.5,0.31,0.19,10,0.5,0.914,Predicatable,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,{},0,0,,,,4.5
A2SJ48G1X5OSN8,4,10,35,75,0.5,0.31,0.19,10,0.5,0.319,Disappointed; but not shocked. His odds were definitely for this result; though he probably would've rather had the $75,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92,,,,4.5
A3EBZQ81L976E1,4,10,35,75,0.5,0.31,0.19,10,0.5,0.256,Eric knew he was most likely to win $10 since it was the most likely outcome; so he isn't too surprised. He's slightly disappointed that he also had a $50 chance of winning more than $10.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1]}",4,5.27,,,,4.5
ATG5DIBOFXR7C,4,10,35,75,0.5,0.31,0.19,10,0.5,0.98,He is disappointed he won the least amount.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92,,,,4.5
A2ZAI1UI3BONP9,4,10,35,75,0.5,0.31,0.19,10,0.5,0.641,George is very happy,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49,,,,4.5
A324HA2AP7AU8Q,4,10,35,75,0.5,0.31,0.19,10,0.5,0.383,Scott is upset by his winnings; because that is the lowest amount anyone has won today,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,1,"{'sad': [2.0, 5.86, ['upset'], 1]}",2,5.86,,,,4.5
A117G4HSX1Y0LQ,5,10,35,75,0.515,0.3,0.185,35,0.3,0.102,I think Jake is excited.  He knows that $10 is the reasonable amount to expect.  He would have been happier to get $75; though.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67,6.712222222,5.568888889,2.212222222,-1.068888889
A25DHXVNVC0VPW,5,10,35,75,0.515,0.3,0.185,35,0.3,0.515,Tom probably feels very good about his earnings. Even though he didn't win $75; he still did very well and is happy.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'happy': [8.34, 6.46, ['very good', 'happy'], 2]}",8.34,6.46,,,,4.5
ATG5DIBOFXR7C,5,10,35,75,0.515,0.3,0.185,35,0.3,0.338,He is disappointed he didnt win the largest amount but satisfied for not winning the least.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",5.17,4.93,,,,4.5
A35B3KI1K34CRA,5,10,35,75,0.515,0.3,0.185,35,0.3,0.516,he is happy he got the middle amount but sad because the top amount is double what he could have won,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'sad': [1.61, 4.13, ['sad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",4.91,5.31,,,,4.5
A3VPLXGSHH2R9S,5,10,35,75,0.515,0.3,0.185,35,0.3,0.079,content. he won more than the least possible.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'content': [7.06, 4.7, ['content'], 1]}",7.06,4.7,,,,4.5
A2HR7ZIX42FEPG,5,10,35,75,0.515,0.3,0.185,35,0.3,0.468,He probably expected that he would win 10 dollars since it was the most likely. He probably is okay with 35 dollars but would have liked 75 dollars.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7,,,,4.5
A3R7OA5VLKONPU,5,10,35,75,0.515,0.3,0.185,35,0.3,0.518,happy because he won the middle amount,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49,,,,4.5
A09281221R5UN2B9X8VQQ,5,10,35,75,0.515,0.3,0.185,35,0.3,0.619,I think John feels alright about the $35 prize.  The odds were in favor of landing on the $10 prize.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'content': [6.06, 4.7, ['alright'], 1]}",6.06,4.7,,,,4.5
A236LC3K242Y4B,5,10,35,75,0.515,0.3,0.185,35,0.3,0.095,Even though it wasn't the largest amount; he is still glad as there was more then fifty percent chance; he could of gotten lower than that.,2,29.525,5.475,5.833333333,2.388888889,1.388888889,4.277777778,1.5,1.111111111,4.833333333,3.666666667,-0.120868823,1.162422469,1,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16,,,,4.5
AMHS55IO8IWSH,6,10,35,75,0.5,0.32,0.18,75,0.18,0.086,He felt amazing!,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'great': [9.0, 6.0, ['amazing'], 1]}",9,6,8.602222222,6.731111111,4.102222222,-2.231111111
A1WND2TPRFA4H,6,10,35,75,0.5,0.32,0.18,75,0.18,0.113,Elated!,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21,,,,4.5
A15BTZ2F2YSQ8I,6,10,35,75,0.5,0.32,0.18,75,0.18,0.33,Tom is probably feeling very good.  He has hit the highest amount with the smallest chance of winning.  You can do a few things with 75 dollars these days.,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43,,,,4.5
A9DJ4U0G0MAA3,6,10,35,75,0.5,0.32,0.18,75,0.18,0.606,he is as happy as you can get by playing this game. max happiness. lowest odds; but highest payoff.,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'happy': [8.72, 6.99, ['happy', 'very happiness'], 2]}",8.72,6.99,,,,4.5
A3MV1DRG1VT6S2,6,10,35,75,0.5,0.32,0.18,75,0.18,0.726,Very lucky that it landed in the smallest section with highest payout.I think he would feel like he beat the odds against him.,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'fortunate': [9.17, 7.53, ['very lucky'], 1]}",9.17,7.53,,,,4.5
ARI7XTF8WJTI8,6,10,35,75,0.5,0.32,0.18,75,0.18,0.296,Tom is most likely extremely happy with his spin. The chance of winning $10 or $35 was much greater than spinning $75.,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49,,,,4.5
A578KKFXCH6DX,6,10,35,75,0.5,0.32,0.18,75,0.18,0.934,Jake is very happy to have won $75; especially since the wheel had almost stopped on $10. He also feels lucky since winning $75 had the smallest probability of the three possibilities. ,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.7,7.01,,,,4.5
A30N110TZJLSTN,6,10,35,75,0.5,0.32,0.18,75,0.18,0.04,good going Josh,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43,,,,4.5
A3R7OA5VLKONPU,6,10,35,75,0.5,0.32,0.18,75,0.18,0.186,really happy; won the most amount on the smallest part.,3,29.7,45.3,8.538461538,1,1,7.384615385,1,1,6.923076923,1,4.830850694,-1.110002482,1,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49,,,,4.5
A131CBUQKTKOA5,7,15,70,80,0.47,0.28,0.25,15,0.47,0.637,Not great; there was close to a 50% chance of winning a higher amount; but at least he still won a little.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'great': [3.3, 3.3, ['not great'], 1]}",3.3,3.3,3.758333333,4.69,-0.741666667,-0.19
A3PR3TT31JCSEN,7,15,70,80,0.47,0.28,0.25,15,0.47,0.526,Disappointed that he didn't get $70 or $80.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92,,,,4.5
A3R7OA5VLKONPU,7,15,70,80,0.47,0.28,0.25,15,0.47,0.713,sad because he won the lowest amount.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13,,,,4.5
A2SJ48G1X5OSN8,7,15,70,80,0.47,0.28,0.25,15,0.47,0.531,Kindof disappointed. He won a little bit; which is good; but far less than he could have.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.93,5.18,,,,4.5
A6K30KTZC5MYT,7,15,70,80,0.47,0.28,0.25,15,0.47,0.792,Disappointed; but not surprised.  He got the lowest prize but that had nearly the same odds as the two higher prizes combined.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",3,4.27,,,,4.5
A7MDNLR6XMWBI,7,15,70,80,0.47,0.28,0.25,15,0.47,0.236,He feels content because he now has $15 but not as happy as he would've if it was the $80.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'content': [7.06, 4.7, ['content'], 1], 'happy': [3.39, 1.67, ['not happy'], 1]}",5.23,3.19,,,,4.5
A1CCAFAD05OR0O,7,15,70,80,0.47,0.28,0.25,15,0.47,0.14,Chris is probably disappointed at only winning $15.  Although it wasn't the best outcome; Chris knew this was the most probable result.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92,,,,4.5
A236LC3K242Y4B,7,15,70,80,0.47,0.28,0.25,15,0.47,0.805,A little disappointed for not winning a larger amount; yet still glad to have won.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",5.24,5.54,,,,4.5
A25DHXVNVC0VPW,7,15,70,80,0.47,0.28,0.25,15,0.47,0.973,Josh is probably a little upset that he didn't earn one of the two higher prizes. However; he still made at least a little bit of money and therefore doesn't feel too upset.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'sad': [3.63, 7.49, ['a little upset', 'not very upset'], 2]}",3.63,7.49,,,,4.5
A21L1O4MOGTUCH,7,15,70,80,0.47,0.28,0.25,15,0.47,0.152,He is not very satisfied because he was hopping to win the bigger draw,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'content': [4.47, 1.47, ['not very satisfied'], 1]}",4.47,1.47,,,,4.5
A117G4HSX1Y0LQ,7,15,70,80,0.47,0.28,0.25,15,0.47,0.974,Frank is okay with winning $15.  He knew that it would probably land there anyways (because it's the bigger part of the wheel).  Even though the other two prizes were slightly larger than half; he wasn't expecting to land in that portion.,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7,,,,4.5
A30IS80MAGH20S,7,15,70,80,0.47,0.28,0.25,15,0.47,0.996,Angry for being right on the line for $70,1,46.65,-31.65,3.153846154,4.846153846,3.923076923,2.692307692,2.384615385,1.076923077,3.307692308,5.846153846,-5.343333874,1.100922476,1,"{'angry': [2.85, 7.17, ['angry'], 1]}",2.85,7.17,,,,4.5
A30N110TZJLSTN,8,15,70,80,0.49,0.27,0.24,70,0.27,0.295,excellent,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'great': [9.0, 6.0, ['excellent'], 1]}",9,6,8.69,6.912857143,4.19,-2.412857143
ARI7XTF8WJTI8,8,15,70,80,0.49,0.27,0.24,70,0.27,0.634,He is probably very satisfied with his spin. The chance of winning $70 was much smaller than the chance of him winning $15.,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'content': [8.95, 5.94, ['very satisfied'], 1]}",8.95,5.94,,,,4.5
A35B3KI1K34CRA,8,15,70,80,0.49,0.27,0.24,70,0.27,0.27,He is very excited because he won the middle amount and it is very close to the top amount he could win.  There is no disappointment because the middle amount is so much larger than the lowest and it is almost as much as the highest,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67,,,,4.5
A219M3DT6KUL7C,8,15,70,80,0.49,0.27,0.24,70,0.27,0.6,Bob is happy that he won. The odds were against him winning that much; but his spin overcame those odds. He would have been happiest with $80; but he is satisfied with $70.,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'content': [7.94, 4.95, ['satisfied'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.08,5.72,,,,4.5
A117G4HSX1Y0LQ,8,15,70,80,0.49,0.27,0.24,70,0.27,0.896,Frank is very happy with winning $70.  The odds were against him for winning that much; anyways.  I'm sure he would have enjoyed winning $80 instead; but it's not that much more money.,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49,,,,4.5
A30IS80MAGH20S,8,15,70,80,0.49,0.27,0.24,70,0.27,0.976,Excited and happy,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.08,,,,4.5
A2ZAI1UI3BONP9,8,15,70,80,0.49,0.27,0.24,70,0.27,0.359,Charlie is probably very happy.,2,45.45,24.55,7.4,2.2,1.3,5,1.2,1.1,6,2.3,2.148028689,0.446624264,1,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49,,,,4.5
A131CBUQKTKOA5,9,15,70,80,0.45,0.29,0.26,80,0.26,0.161,Very Excited! He won the highest amount possible.,3,47.85,32.15,8.5,1.071428571,1.071428571,7.071428571,1,1,5.5,1.071428571,4.062724364,-0.419319419,1,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67,7.8975,6.975,3.3975,-2.475
AMHS55IO8IWSH,9,15,70,80,0.45,0.29,0.26,80,0.26,0.752,Chris must feel amazing after his win of $80. It is the smallest section of the wheel and it is worth the most amount of money. He couldn't hope for a better outcome. ,3,47.85,32.15,8.5,1.071428571,1.071428571,7.071428571,1,1,5.5,1.071428571,4.062724364,-0.419319419,1,"{'great': [9.0, 6.0, ['amazing'], 1], 'inspired': [3.74, 2.13, ['not hope'], 1]}",6.37,4.07,,,,4.5
A290W8BVTNK0ZY,9,15,70,80,0.45,0.29,0.26,80,0.26,0.261,Excited and pumped that he won the highest amount possible. ,3,47.85,32.15,8.5,1.071428571,1.071428571,7.071428571,1,1,5.5,1.071428571,4.062724364,-0.419319419,1,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67,,,,4.5
