workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1,pcomp2,dummy
AQ5MJSR5ZAUF2,3,0,30,60,0.41,0.37,0.22,60,0.22,0.141,Steve is thrilled he didn't land on $0 since it had the best chance.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AMHS55IO8IWSH,3,0,30,60,0.41,0.37,0.22,60,0.22,0.484,Jacob must feel incredibly happy about his $60 win. He won the most amount of money and had the smallest probability of winning it. He couldn't have wished for a better outcome.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A2P9CB7M5EG2II,3,0,30,60,0.41,0.37,0.22,60,0.22,0.627,The player will be very excited with the result as it is the highest amount on the wheel and it is the grand prize.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AOVMS4XWTJ7A6,3,0,30,60,0.41,0.37,0.22,60,0.22,0.612,Mike will be very happy for winning the highest prize.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3FMBZRXBR0BH6,3,0,30,60,0.41,0.37,0.22,60,0.22,0.542,David feels awesome because he not only got the highest amount; but it was also the smallest section which made it unlikely to get.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A236LC3K242Y4B,3,0,30,60,0.41,0.37,0.22,60,0.22,0.315,Glad and lucky for wining the largest amount of money available.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A2SNCG0K167C0J,3,0,30,60,0.41,0.37,0.22,60,0.22,0.973,David is going wild!  He's so excited to have won the highest amount with the smallest odds of winning. He feels lucky!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3PRWPUV7OWTPS,3,0,30,60,0.41,0.37,0.22,60,0.22,0.701,Surprised. He had a better chance at getting the two lower amounts but he won the most.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AMAOA3GTMDS94,3,0,30,60,0.41,0.37,0.22,60,0.22,0.042,Pumped up!! That was the least likely and the most awesome. I bet he's jumping around like those weirdos on the Price is Right.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AZAW52BN8Z6I6,3,0,30,60,0.41,0.37,0.22,60,0.22,0.171,david is happy.\ndavid is excited.\nglad he didn't zero  out or get the lesser $30.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A35R4R94ZTZFSV,3,0,30,60,0.41,0.37,0.22,60,0.22,0.349,Happy because he won the largest amount of $. Probably lucky too because it was the smallest area and he landed on it.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A30IS80MAGH20S,3,0,30,60,0.41,0.37,0.22,60,0.22,0.894,Happy and relieved,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A2PVGP0VBGJEHY,3,0,30,60,0.41,0.37,0.22,60,0.22,0.838,Super pumped he hit the highest,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A1YX045UYGCNLA,3,0,30,60,0.41,0.37,0.22,60,0.22,0.265,David was probably very happy and excited he won the highest amount with the least odds.  Combined with the $0 prize it added the thrill of getting nothing.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AZ4MMVSAY9L3X,3,0,30,60,0.41,0.37,0.22,60,0.22,0.338,James is super excited about winning the $60 as it is the maximum amount on the wheel and he also had a large chance of not winning anything at all.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3HLCR4YCHJWBI,3,0,30,60,0.41,0.37,0.22,60,0.22,0.252,Steve feels amazing that he has won the largest amount with a small chance! He is ready to play more!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AQC0SZA1E9QO7,3,0,30,60,0.41,0.37,0.22,60,0.22,0.493,Josh is probably very excited that he got $60; and moreso that he didn't get $0. He probably feels very happy and lucky.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AD2XOLO1DPATR,3,0,30,60,0.41,0.37,0.22,60,0.22,0.094,Charlie was elated to win the largest amount on the wheel and in the smallest section of the wheel.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3Q68BOA79SD35,4,10,35,75,0.5,0.31,0.19,10,0.5,0.879,I think he'd feel somewhat happen yet somewhat disappointed. Im sure he was hoping for a larger amount of money; but Im sure hes happy he got something.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
APC3O2O8O9XPO,4,10,35,75,0.5,0.31,0.19,10,0.5,0.735,He felt okay.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
AAICL10ND2YK3,4,10,35,75,0.5,0.31,0.19,10,0.5,0.193,I think he would have felt like it was expected. Overall; he had a 50% chance that it would land on $10 anyway. He might be a little disappointed though.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A35B3KI1K34CRA,4,10,35,75,0.5,0.31,0.19,10,0.5,0.437,I think that is what he expected since the 10 amount is very large,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A2HR7ZIX42FEPG,4,10,35,75,0.5,0.31,0.19,10,0.5,0.309,He probably feel glad that he won something. But at the same time he would be disappointed that he didn't win 75 dollars. ,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
AHY4ZL9KJP8QQ,4,10,35,75,0.5,0.31,0.19,10,0.5,0.89,Disappointed he only won 10 bucks.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A236LC3K242Y4B,4,10,35,75,0.5,0.31,0.19,10,0.5,0.068,He felt disappointed as he got the lowest amount of money.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A22CF8BF9YQND7,4,10,35,75,0.5,0.31,0.19,10,0.5,0.967,Charlie knew he had a 50% or greater chance of winning only $10; but having come so close to a higher prize has made him unhappy with his $10 prize.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
ADJ24P3SDIKOA,4,10,35,75,0.5,0.31,0.19,10,0.5,0.976,let down that he only got 10$. happy that he didnt lose and gt nothing.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
AJBIFVO08W3GX,4,10,35,75,0.5,0.31,0.19,10,0.5,0.782,He feels like it is expected because there was a 50% chance he would win 10 $ so anything more wold be exciting but he knew he would at last win 10 $,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A1VSHM4NLZ705D,4,10,35,75,0.5,0.31,0.19,10,0.5,0.171,I'm sure he's bummed.  The percentages were favoring $10.  It's better to get something than nothing.  It might might hurt a little though.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A7MDNLR6XMWBI,4,10,35,75,0.5,0.31,0.19,10,0.5,0.944,He feels content but would've been happier if he won the $35 or $75.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A9K7HUROMLTQ4,4,10,35,75,0.5,0.31,0.19,10,0.5,0.211,I think David feels a little unhappy even though he knows he held the highest chance of winning the lowest amount of money. He probably figured that is the way it would work out.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A1WND2TPRFA4H,4,10,35,75,0.5,0.31,0.19,10,0.5,0.914,Predicatable,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A2SJ48G1X5OSN8,4,10,35,75,0.5,0.31,0.19,10,0.5,0.319,Disappointed; but not shocked. His odds were definitely for this result; though he probably would've rather had the $75,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
A3EBZQ81L976E1,4,10,35,75,0.5,0.31,0.19,10,0.5,0.256,Eric knew he was most likely to win $10 since it was the most likely outcome; so he isn't too surprised. He's slightly disappointed that he also had a $50 chance of winning more than $10.,1,30.1,-20.1,3.294117647,4.117647059,2.470588235,2.235294118,2.411764706,1.235294118,2.588235294,6.705882353,-5.460562936,2.173961204,0
